m,TagName,
"2010-12-01 00:00:00","go","18"
"2010-12-01 00:00:00","javascript","4950"
"2010-12-01 00:00:00","delphi","321"
"2010-12-01 00:00:00","ruby","1022"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","swift","2"
"2010-12-01 00:00:00","php","5395"
"2010-12-01 00:00:00","r","223"
"2011-01-01 00:00:00","c","1462"
"2011-01-01 00:00:00","delphi","370"
"2011-01-01 00:00:00","assembly","135"
"2011-01-01 00:00:00","c#","7989"
"2011-01-01 00:00:00","java","6540"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","perl","479"
"2011-01-01 00:00:00","javascript","5423"
"2011-01-01 00:00:00","r","250"
"2011-01-01 00:00:00","c++","3496"
"2011-01-01 00:00:00","php","6442"
"2011-01-01 00:00:00","python","2904"
"2011-01-01 00:00:00","swift","3"
"2011-01-01 00:00:00","ruby","1204"
"2011-02-01 00:00:00","javascript","5591"
"2011-02-01 00:00:00","java","6872"
"2011-02-01 00:00:00","c#","8226"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","php","6715"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c++","3445"
"2011-02-01 00:00:00","c","1640"
"2011-02-01 00:00:00","ruby","1251"
"2011-02-01 00:00:00","perl","483"
"2011-02-01 00:00:00","swift","5"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","python","3013"
"2011-02-01 00:00:00","delphi","360"
"2011-03-01 00:00:00","php","8117"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","python","3750"
"2011-03-01 00:00:00","javascript","6770"
"2011-03-01 00:00:00","c#","9989"
"2011-03-01 00:00:00","c","2110"
"2011-03-01 00:00:00","ruby","1639"
"2011-03-01 00:00:00","c++","4179"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","java","8479"
"2011-03-01 00:00:00","swift","3"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","r","422"
"2011-04-01 00:00:00","java","7897"
"2011-04-01 00:00:00","delphi","402"
"2011-04-01 00:00:00","perl","552"
"2011-04-01 00:00:00","c#","9281"
"2011-04-01 00:00:00","c","2041"
"2011-04-01 00:00:00","php","7663"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c++","4168"
"2011-04-01 00:00:00","javascript","6878"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","python","3342"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","c++","3885"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c#","10019"
"2011-05-01 00:00:00","java","8570"
"2011-05-01 00:00:00","javascript","7311"
"2011-05-01 00:00:00","delphi","477"
"2011-05-01 00:00:00","go","37"
"2011-05-01 00:00:00","c","1826"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","php","8112"
"2011-05-01 00:00:00","swift","1"
"2011-05-01 00:00:00","perl","582"
"2011-05-01 00:00:00","python","3517"
"2011-05-01 00:00:00","r","427"
"2011-06-01 00:00:00","python","3473"
"2011-06-01 00:00:00","c#","9765"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","javascript","7687"
"2011-06-01 00:00:00","c","1765"
"2011-06-01 00:00:00","c++","3814"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","delphi","456"
"2011-06-01 00:00:00","java","7916"
"2011-06-01 00:00:00","php","8050"
"2011-06-01 00:00:00","swift","4"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","r","444"
"2011-07-01 00:00:00","c#","9612"
"2011-07-01 00:00:00","javascript","8114"
"2011-07-01 00:00:00","java","8166"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","c++","3852"
"2011-07-01 00:00:00","php","8715"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1659"
"2011-07-01 00:00:00","ruby","1583"
"2011-07-01 00:00:00","r","454"
"2011-07-01 00:00:00","perl","659"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","swift","12"
"2011-07-01 00:00:00","python","3665"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","python","3832"
"2011-08-01 00:00:00","javascript","8912"
"2011-08-01 00:00:00","delphi","424"
"2011-08-01 00:00:00","c","1822"
"2011-08-01 00:00:00","c#","10076"
"2011-08-01 00:00:00","c++","3954"
"2011-08-01 00:00:00","java","8700"
"2011-08-01 00:00:00","php","8957"
"2011-08-01 00:00:00","perl","613"
"2011-08-01 00:00:00","ruby","1860"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","c","1917"
"2011-09-01 00:00:00","python","3522"
"2011-09-01 00:00:00","javascript","8201"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","ruby","1550"
"2011-09-01 00:00:00","java","8339"
"2011-09-01 00:00:00","c#","9310"
"2011-09-01 00:00:00","c++","3947"
"2011-09-01 00:00:00","swift","6"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","php","8092"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","go","26"
"2011-10-01 00:00:00","java","8570"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","delphi","465"
"2011-10-01 00:00:00","c++","4355"
"2011-10-01 00:00:00","javascript","8042"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","c#","9231"
"2011-10-01 00:00:00","c","2139"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","php","8091"
"2011-10-01 00:00:00","r","621"
"2011-10-01 00:00:00","python","3628"
"2011-10-01 00:00:00","ruby","1617"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","209"
"2011-11-01 00:00:00","javascript","8693"
"2011-11-01 00:00:00","java","9661"
"2011-11-01 00:00:00","c#","9916"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","c++","4486"
"2011-11-01 00:00:00","c","2201"
"2011-11-01 00:00:00","go","66"
"2011-11-01 00:00:00","php","8714"
"2011-11-01 00:00:00","ruby","1741"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","swift","4"
"2011-11-01 00:00:00","python","3876"
"2011-11-01 00:00:00","r","607"
"2011-12-01 00:00:00","java","9217"
"2011-12-01 00:00:00","php","8364"
"2011-12-01 00:00:00","c#","9325"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","c","2005"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","javascript","8347"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","c++","4362"
"2011-12-01 00:00:00","python","3624"
"2011-12-01 00:00:00","swift","2"
"2011-12-01 00:00:00","ruby","1687"
"2012-01-01 00:00:00","java","10156"
"2012-01-01 00:00:00","javascript","9608"
"2012-01-01 00:00:00","c#","10465"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","assembly","170"
"2012-01-01 00:00:00","php","9345"
"2012-01-01 00:00:00","c++","4549"
"2012-01-01 00:00:00","c","2233"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1908"
"2012-01-01 00:00:00","delphi","514"
"2012-01-01 00:00:00","python","4213"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","javascript","9995"
"2012-02-01 00:00:00","python","4494"
"2012-02-01 00:00:00","java","10969"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","c++","5107"
"2012-02-01 00:00:00","c#","10768"
"2012-02-01 00:00:00","c","2407"
"2012-02-01 00:00:00","php","9965"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","ruby","2047"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","swift","9"
"2012-02-01 00:00:00","r","813"
"2012-03-01 00:00:00","delphi","499"
"2012-03-01 00:00:00","c++","5244"
"2012-03-01 00:00:00","java","12414"
"2012-03-01 00:00:00","assembly","261"
"2012-03-01 00:00:00","c#","11609"
"2012-03-01 00:00:00","c","2736"
"2012-03-01 00:00:00","javascript","10720"
"2012-03-01 00:00:00","php","10927"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","python","5046"
"2012-03-01 00:00:00","r","889"
"2012-03-01 00:00:00","ruby","2194"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","java","12047"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","php","10436"
"2012-04-01 00:00:00","c","2673"
"2012-04-01 00:00:00","c++","5314"
"2012-04-01 00:00:00","perl","600"
"2012-04-01 00:00:00","c#","11137"
"2012-04-01 00:00:00","python","4923"
"2012-04-01 00:00:00","javascript","10681"
"2012-04-01 00:00:00","r","843"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","ruby","1972"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","226"
"2012-05-01 00:00:00","c++","4989"
"2012-05-01 00:00:00","c#","11584"
"2012-05-01 00:00:00","java","12194"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","javascript","11527"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","c","2484"
"2012-05-01 00:00:00","perl","644"
"2012-05-01 00:00:00","ruby","1979"
"2012-05-01 00:00:00","php","10960"
"2012-05-01 00:00:00","r","876"
"2012-05-01 00:00:00","swift","6"
"2012-05-01 00:00:00","python","5105"
"2012-06-01 00:00:00","java","11112"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","c#","11327"
"2012-06-01 00:00:00","javascript","11247"
"2012-06-01 00:00:00","assembly","203"
"2012-06-01 00:00:00","c","2312"
"2012-06-01 00:00:00","c++","4654"
"2012-06-01 00:00:00","php","10605"
"2012-06-01 00:00:00","python","5281"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","ruby","1891"
"2012-06-01 00:00:00","delphi","418"
"2012-06-01 00:00:00","swift","4"
"2012-06-01 00:00:00","r","974"
"2012-07-01 00:00:00","delphi","441"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c++","5286"
"2012-07-01 00:00:00","c","2372"
"2012-07-01 00:00:00","c#","12322"
"2012-07-01 00:00:00","java","12261"
"2012-07-01 00:00:00","python","5727"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","javascript","12312"
"2012-07-01 00:00:00","perl","667"
"2012-07-01 00:00:00","swift","7"
"2012-07-01 00:00:00","r","1120"
"2012-07-01 00:00:00","php","11757"
"2012-07-01 00:00:00","ruby","2060"
"2012-08-01 00:00:00","php","11913"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c#","11951"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","c++","5164"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","python","5866"
"2012-08-01 00:00:00","c","2318"
"2012-08-01 00:00:00","javascript","12431"
"2012-08-01 00:00:00","perl","763"
"2012-08-01 00:00:00","ruby","2061"
"2012-08-01 00:00:00","java","12258"
"2012-08-01 00:00:00","swift","5"
"2012-08-01 00:00:00","r","1089"
"2012-09-01 00:00:00","javascript","11168"
"2012-09-01 00:00:00","c","2531"
"2012-09-01 00:00:00","c#","11280"
"2012-09-01 00:00:00","assembly","225"
"2012-09-01 00:00:00","java","11630"
"2012-09-01 00:00:00","c++","4911"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","php","11007"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","perl","664"
"2012-09-01 00:00:00","python","5254"
"2012-09-01 00:00:00","r","1060"
"2012-09-01 00:00:00","ruby","1959"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","c#","12719"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","c++","5914"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","javascript","12425"
"2012-10-01 00:00:00","assembly","315"
"2012-10-01 00:00:00","c","3152"
"2012-10-01 00:00:00","python","6138"
"2012-10-01 00:00:00","java","13503"
"2012-10-01 00:00:00","php","11812"
"2012-10-01 00:00:00","swift","4"
